"โรงพยาบาล","B","A","ร้อยละ"
"14574  :  โรงพยาบาลพญาไท 3","0","0","0.00"
"14577  :  โรงพยาบาลวิภาราม","0","0","0.00"
"14641  :  โรงพยาบาลราชพิพัฒน์","0","0","0.00"
"14908  :  โรงพยาบาลการุญเวช สุขาภิบาล3","0","0","0.00"
"15049  :  โรงพยาบาลสิรินธร","0","0","0.00"
"15147  :  โรงพยาบาลบางปะกอก 8 โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00"
"21673  :  โรงพยาบาลซีจีเอช สายไหม โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00"
"22155  :  โรงพยาบาลครู","0","0","0.00"
"22737  :  โรงพยาบาลจุฬาภรณ์","0","0","0.00"
"23762  :  โรงพยาบาลนวุติสมเด็จย่า","0","0","0.00"
"23781  :  นวมินทร์ 9โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00"
"23783  :  โรงพยาบาลเสรีรักษ์","0","0","0.00"
"24085  :  สถาบันวิจัยการแพทย์แผนไทย","0","0","0.00"
"24748  :  โรงพยาบาลศิริราช ปิยมหาราชการุณย์","0","0","0.00"
"25015  :  โรงพยาบาลทั่วไปขนาดใหญ่มิตรประชา","0","0","0.00"
"25060  :  โรงพยาบาลผู้สูงอายุบางขุนเทียน","0","0","0.00"
"41329  :  โรงพยาบาลเฉพาะประเภทผู้ป่วยสูงอายุ เฌ้อสเซอรี่โฮมขนาดเล็ก","0","0","0.00"
"41414  :  โรงพยาบาลทหารอากาศ (สีกัน)","0","0","0.00"
"77665  :  โรงพยาบาลการแพทย์แผนไทยและการแพทย์ผสมผสาน","0","0","0.00"
"10685  :  โรงพยาบาลสมุทรปราการ","0","0","0.00"
"10752  :  โรงพยาบาลบางบ่อ","0","0","0.00"
"10753  :  โรงพยาบาลบางพลี","0","0","0.00"
"10754  :  โรงพยาบาลบางจาก","0","0","0.00"
"10755  :  โรงพยาบาลพระสมุทรเจดีย์สวาทยานนท์","0","0","0.00"
"11769  :  โรงพยาบาลเซ็นทรัลปาร์ค","0","55","0.00"
"11775  :  โรงพยาบาลเมืองสมุทรปู่เจ้าสมิงพราย","0","0","0.00"
"12251  :  โรงพยาบาลยุวประสาทไวทโยปถัมภ์","0","0","0.00"
"15138  :  โรงพยาบาลเมืองสมุทรบางปูโรงพยาบาลทั่วไปขนาดเล็ก","0","1","0.00"
"28785  :  โรงพยาบาลบางเสาธง","0","0","0.00"
"10686  :  โรงพยาบาลพระนั่งเกล้า","0","0","0.00"
"10756  :  โรงพยาบาลบางกรวย","0","0","0.00"
"10757  :  โรงพยาบาลบางใหญ่","0","0","0.00"
"10758  :  โรงพยาบาลบางบัวทอง","0","0","0.00"
"10759  :  โรงพยาบาลไทรน้อย","0","0","0.00"
"10760  :  โรงพยาบาลปากเกร็ด","0","118","0.00"
"11781  :  โรงพยาบาลนนทเวช","0","0","0.00"
"11786  :  โรงพยาบาลอนันต์พัฒนา 2","0","0","0.00"
"11787  :  โรงพยาบาลเกษมราษฎร์อินเตอร์เนชั่นแนล รัตนาธิเบศร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00"
"12256  :  สถาบันโรคทรวงอก","0","0","0.00"
"12257  :  สถาบันบำราศนราดูร","0","0","0.00"
"12258  :  สถาบันสิรินธรเพื่อการฟื้นฟูสมรรถภาพทางการแพทย์แห่งชาติ","0","0","0.00"
"12260  :  โรงพยาบาลศรีธัญญา","0","0","0.00"
"13815  :  ศูนย์การแพทย์ปัญญานันทภิกขุ ชลประทาน มหาวิทยาลัยศรีนครินทรวิโรฒ","0","0","0.00"
"22127  :  โรงพยาบาลชลลดา","0","0","0.00"
"28875  :  โรงพยาบาลบางบัวทอง ๒","0","0","0.00"
"10687  :  โรงพยาบาลปทุมธานี","0","0","0.00"
"10761  :  โรงพยาบาลคลองหลวง","0","0","0.00"
"10762  :  โรงพยาบาลธัญบุรี","0","0","0.00"
"10763  :  โรงพยาบาลประชาธิปัตย์","0","0","0.00"
"10764  :  โรงพยาบาลหนองเสือ","0","91","0.00"
"10765  :  โรงพยาบาลลาดหลุมแก้ว","0","0","0.00"
"10766  :  โรงพยาบาลลำลูกกา","0","0","0.00"
"10767  :  โรงพยาบาลสามโคก","0","0","0.00"
"12262  :  สถาบันบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติดแห่งชาติบรมราชชนนี","0","0","0.00"
"14923  :  โรงพยาบาลมหาวชิราลงกรณ ธัญบุรี","0","0","0.00"
"10660  :  โรงพยาบาลพระนครศรีอยุธยา","0","0","0.00"
"10688  :  โรงพยาบาลเสนา","0","0","0.00"
"10768  :  โรงพยาบาลท่าเรือ","0","0","0.00"
"10769  :  โรงพยาบาลสมเด็จพระสังฆราชเจ้า กรมหลวงชินวราลงกรณ (วาสนมหาเถร)","0","0","0.00"
"10770  :  โรงพยาบาลบางไทร","0","0","0.00"
"10771  :  โรงพยาบาลบางบาล","0","0","0.00"
"10772  :  โรงพยาบาลบางปะอิน","0","0","0.00"
"10773  :  โรงพยาบาลบางปะหัน","0","0","0.00"
"10774  :  โรงพยาบาลผักไห่","0","0","0.00"
"10775  :  โรงพยาบาลภาชี","0","0","0.00"
"10776  :  โรงพยาบาลลาดบัวหลวง","0","51","0.00"
"10777  :  โรงพยาบาลวังน้อย","0","14","0.00"
"10778  :  โรงพยาบาลบางซ้าย","0","17","0.00"
"10779  :  โรงพยาบาลอุทัย","0","0","0.00"
"10780  :  โรงพยาบาลมหาราช","0","0","0.00"
"10781  :  โรงพยาบาลบ้านแพรก","0","0","0.00"
"10689  :  โรงพยาบาลอ่างทอง","0","97","0.00"
"10782  :  โรงพยาบาลไชโย","0","1","0.00"
"10784  :  โรงพยาบาลป่าโมก","0","0","0.00"
"10785  :  โรงพยาบาลโพธิ์ทอง","0","82","0.00"
"10786  :  โรงพยาบาลแสวงหา","0","0","0.00"
"10787  :  โรงพยาบาลวิเศษชัยชาญ","0","0","0.00"
"10788  :  โรงพยาบาลสามโก้","0","10","0.00"
"10690  :  โรงพยาบาลพระนารายณ์มหาราช","0","0","0.00"
"10691  :  โรงพยาบาลบ้านหมี่","0","0","0.00"
"10789  :  โรงพยาบาลพัฒนานิคม","0","0","0.00"
"10790  :  โรงพยาบาลโคกสำโรง","0","50","0.00"
"10791  :  โรงพยาบาลชัยบาดาล","0","0","0.00"
"10792  :  โรงพยาบาลท่าวุ้ง","0","28","0.00"
"10793  :  โรงพยาบาลท่าหลวง","0","0","0.00"
"10794  :  โรงพยาบาลสระโบสถ์","0","0","0.00"
"10795  :  โรงพยาบาลโคกเจริญ","0","32","0.00"
"10796  :  โรงพยาบาลลำสนธิ","0","0","0.00"
"10797  :  โรงพยาบาลหนองม่วง","0","0","0.00"
"14199  :  โรงพยาบาลมะเร็งลพบุรี","0","0","0.00"
"14928  :  โรงพยาบาลกองบิน 2","0","0","0.00"
"10692  :  โรงพยาบาลสิงห์บุรี","0","573","0.00"
"10693  :  โรงพยาบาลอินทร์บุรี","0","117","0.00"
"10798  :  โรงพยาบาลบางระจัน","0","0","0.00"
"10799  :  โรงพยาบาลค่ายบางระจัน","0","0","0.00"
"10800  :  โรงพยาบาลพรหมบุรี","0","0","0.00"
"10801  :  โรงพยาบาลท่าช้าง","0","0","0.00"
"10694  :  โรงพยาบาลชัยนาทนเรนทร","0","0","0.00"
"10802  :  โรงพยาบาลมโนรมย์","0","42","0.00"
"10803  :  โรงพยาบาลวัดสิงห์","0","10","0.00"
"10804  :  โรงพยาบาลสรรพยา","0","7","0.00"
"10805  :  โรงพยาบาลสรรคบุรี","0","28","0.00"
"10806  :  โรงพยาบาลหันคา","0","42","0.00"
"27974  :  โรงพยาบาลหนองมะโมง","0","12","0.00"
"27975  :  โรงพยาบาลเนินขาม","0","0","0.00"
"10661  :  โรงพยาบาลสระบุรี","0","0","0.00"
"10695  :  โรงพยาบาลพระพุทธบาท","0","0","0.00"
"10807  :  โรงพยาบาลแก่งคอย","0","197","0.00"
"10808  :  โรงพยาบาลหนองแค","0","0","0.00"
"10809  :  โรงพยาบาลวิหารแดง","0","0","0.00"
"10810  :  โรงพยาบาลหนองแซง","0","24","0.00"
"10811  :  โรงพยาบาลบ้านหมอ","0","92","0.00"
"10812  :  โรงพยาบาลดอนพุด","0","0","0.00"
"10813  :  โรงพยาบาลหนองโดน","0","0","0.00"
"10814  :  โรงพยาบาลเสาไห้เฉลิมพระเกียรติ80พรรษา","0","16","0.00"
"10815  :  โรงพยาบาลมวกเหล็ก","0","190","0.00"
"10816  :  โรงพยาบาลวังม่วงสัทธรรม","0","0","0.00"
"11485  :  โรงพยาบาลค่ายอดิศร","0","12","0.00"
"10662  :  โรงพยาบาลชลบุรี","0","0","0.00"
"10817  :  โรงพยาบาลบ้านบึง","0","223","0.00"
"10818  :  โรงพยาบาลหนองใหญ่","0","71","0.00"
"10819  :  โรงพยาบาลบางละมุง","0","1","0.00"
"10820  :  โรงพยาบาลวัดญาณสังวราราม","0","0","0.00"
"10821  :  โรงพยาบาลพานทอง","0","4","0.00"
"10822  :  โรงพยาบาลพนัสนิคม","0","0","0.00"
"10823  :  โรงพยาบาลแหลมฉบัง","0","0","0.00"
"10824  :  โรงพยาบาลเกาะสีชัง","0","0","0.00"
"10825  :  โรงพยาบาลสัตหีบกม10","0","137","0.00"
"10826  :  โรงพยาบาลบ่อทอง","0","0","0.00"
"11486  :  โรงพยาบาลค่ายนวมินทราชินี","0","0","0.00"
"11487  :  โรงพยาบาลอาภากรเกียรติวงศ์","0","0","0.00"
"13754  :  โรงพยาบาลสมเด็จพระบรมราชเทวี ณ ศรีราชา","0","0","0.00"
"13758  :  โรงพยาบาลสมเด็จพระนางเจ้าสิริกิติ์","0","0","0.00"
"13760  :  โรงพยาบาลมะเร็งชลบุรี","0","0","0.00"
"13766  :  โรงพยาบาลมหาวิทยาลัยบูรพา","0","0","0.00"
"28005  :  โรงพยาบาลเมืองพัทยา","0","1,375","0.00"
"28006  :  โรงพยาบาลเกาะจันทร์","0","0","0.00"
"10663  :  โรงพยาบาลระยอง","0","0","0.00"
"10827  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี ระยอง","0","0","0.00"
"10828  :  โรงพยาบาลบ้านฉาง","0","0","0.00"
"10829  :  โรงพยาบาลแกลง","0","0","0.00"
"10830  :  โรงพยาบาลวังจันทร์","0","0","0.00"
"10831  :  โรงพยาบาลบ้านค่าย","0","0","0.00"
"10832  :  โรงพยาบาลปลวกแดง","0","0","0.00"
"22734  :  โรงพยาบาลเขาชะเมา เฉลิมพระเกียรติ 80 พรรษา","0","0","0.00"
"23962  :  โรงพยาบาลนิคมพัฒนา","0","0","0.00"
"10664  :  โรงพยาบาลพระปกเกล้า","0","14","0.00"
"10834  :  โรงพยาบาลขลุง","0","1","0.00"
"10835  :  โรงพยาบาลท่าใหม่","0","0","0.00"
"10836  :  โรงพยาบาลเขาสุกิม","0","0","0.00"
"10837  :  โรงพยาบาลสองพี่น้อง","0","7","0.00"
"10838  :  โรงพยาบาลโป่งน้ำร้อน","0","0","0.00"
"10839  :  โรงพยาบาลมะขาม","0","0","0.00"
"10840  :  โรงพยาบาลแหลมสิงห์","0","0","0.00"
"10841  :  โรงพยาบาลสอยดาว","0","0","0.00"
"10842  :  โรงพยาบาลแก่งหางแมว","0","7","0.00"
"10843  :  โรงพยาบาลนายายอาม","0","0","0.00"
"10844  :  โรงพยาบาลเขาคิชฌกูฏ","0","0","0.00"
"10696  :  โรงพยาบาลตราด","0","0","0.00"
"10845  :  โรงพยาบาลคลองใหญ่","0","130","0.00"
"10846  :  โรงพยาบาลเขาสมิง","0","29","0.00"
"10847  :  โรงพยาบาลบ่อไร่","0","137","0.00"
"10848  :  โรงพยาบาลแหลมงอบ","0","14","0.00"
"10849  :  โรงพยาบาลเกาะกูด","0","0","0.00"
"13816  :  โรงพยาบาลเกาะช้าง","0","0","0.00"
"10697  :  โรงพยาบาลพุทธโสธร","0","0","0.00"
"10833  :  โรงพยาบาลท่าตะเกียบ","0","123","0.00"
"10850  :  โรงพยาบาลบางคล้า","0","0","0.00"
"10851  :  โรงพยาบาลบางน้ำเปรี้ยว","0","0","0.00"
"10852  :  โรงพยาบาลบางปะกง","0","0","0.00"
"10853  :  โรงพยาบาลบ้านโพธิ์","0","0","0.00"
"10854  :  โรงพยาบาลพนมสารคาม","0","0","0.00"
"10855  :  โรงพยาบาลสนามชัยเขต","0","0","0.00"
"10856  :  โรงพยาบาลแปลงยาว","0","93","0.00"
"13747  :  โรงพยาบาลราชสาส์น","0","34","0.00"
"31327  :  โรงพยาบาลคลองเขื่อน","0","0","0.00"
"10665  :  โรงพยาบาลเจ้าพระยาอภัยภูเบศร","0","0","0.00"
"10857  :  โรงพยาบาลกบินทร์บุรี","0","0","0.00"
"10858  :  โรงพยาบาลนาดี","0","0","0.00"
"10859  :  โรงพยาบาลบ้านสร้าง","0","0","0.00"
"10860  :  โรงพยาบาลประจันตคาม","0","1","0.00"
"10861  :  โรงพยาบาลศรีมหาโพธิ","0","50","0.00"
"10862  :  โรงพยาบาลศรีมโหสถ","0","0","0.00"
"11490  :  โรงพยาบาลค่ายจักรพงษ์","0","12","0.00"
"10698  :  โรงพยาบาลนครนายก","0","63","0.00"
"10863  :  โรงพยาบาลปากพลี","0","0","0.00"
"10864  :  โรงพยาบาลบ้านนา","0","147","0.00"
"10865  :  โรงพยาบาลองครักษ์","0","0","0.00"
"11491  :  โรงพยาบาลรร.นายร้อยพระจุลจอมเกล้า","0","0","0.00"
"14904  :  โรงพยาบาลศูนย์การแพทย์สมเด็จพระเทพรัตนราชสุดาฯ","0","0","0.00"
"10699  :  โรงพยาบาลสมเด็จพระยุพราชสระแก้ว","0","0","0.00"
"10866  :  โรงพยาบาลคลองหาด","0","118","0.00"
"10867  :  โรงพยาบาลตาพระยา","0","0","0.00"
"10868  :  โรงพยาบาลวังน้ำเย็น","0","0","0.00"
"10869  :  โรงพยาบาลวัฒนานคร","0","206","0.00"
"10870  :  โรงพยาบาลอรัญประเทศ","0","0","0.00"
"13817  :  โรงพยาบาลเขาฉกรรจ์","0","0","0.00"
"14717  :  โรงพยาบาลจิตเวชสระแก้วราชนครินทร์","0","0","0.00"
"10666  :  โรงพยาบาลมหาราชนครราชสีมา","0","0","0.00"
"10871  :  โรงพยาบาลครบุรี","0","33","0.00"
"10872  :  โรงพยาบาลเสิงสาง","0","77","0.00"
"10873  :  โรงพยาบาลคง","0","0","0.00"
"10874  :  โรงพยาบาลบ้านเหลื่อม","0","48","0.00"
"10875  :  โรงพยาบาลจักราช","0","0","0.00"
"10876  :  โรงพยาบาลโชคชัย","0","350","0.00"
"10877  :  โรงพยาบาลด่านขุนทด","0","538","0.00"
"10878  :  โรงพยาบาลโนนไทย","0","194","0.00"
"10879  :  โรงพยาบาลโนนสูง","0","301","0.00"
"10880  :  โรงพยาบาลขามสะแกแสง","0","0","0.00"
"10881  :  โรงพยาบาลบัวใหญ่","0","0","0.00"
"10882  :  โรงพยาบาลประทาย","0","246","0.00"
"10883  :  โรงพยาบาลปักธงชัย","0","56","0.00"
"10884  :  โรงพยาบาลพิมาย","0","0","0.00"
"10885  :  โรงพยาบาลห้วยแถลง","0","117","0.00"
"10886  :  โรงพยาบาลชุมพวง","0","224","0.00"
"10887  :  โรงพยาบาลสูงเนิน","0","361","0.00"
"10888  :  โรงพยาบาลขามทะเลสอ","0","59","0.00"
"10889  :  โรงพยาบาลสีคิ้ว","0","435","0.00"
"10890  :  โรงพยาบาลปากช่องนานา","0","0","0.00"
"10891  :  โรงพยาบาลหนองบุญมาก","0","0","0.00"
"10892  :  โรงพยาบาลแก้งสนามนาง","0","62","0.00"
"10893  :  โรงพยาบาลโนนแดง","0","113","0.00"
"10894  :  โรงพยาบาลวังน้ำเขียว","0","50","0.00"
"11492  :  โรงพยาบาลค่ายสุรนารี นครราชสีมา","0","0","0.00"
"11602  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จย่า 100 ปี","0","12","0.00"
"11608  :  โรงพยาบาลลำทะเมนชัย","0","46","0.00"
"11885  :  โรงพยาบาลเดอะโกลเดนเกท","0","1","0.00"
"11891  :  โรงพยาบาลราชสีมาฮอสพิทอล","0","0","0.00"
"12267  :  ศูนย์อนามัยที่ 9 นครราชสีมา","0","0","0.00"
"12268  :  โรงพยาบาลจิตเวชนครราชสีมาราชนครินทร์","0","0","0.00"
"14161  :  โรงพยาบาลกองบิน กองบิน1","0","0","0.00"
"22456  :  โรงพยาบาลพระทองคำ เฉลิมพระเกียรติ 80 พรรษา","0","0","0.00"
"23839  :  โรงพยาบาลเทพรัตน์นครราชสีมา","0","0","0.00"
"24060  :  โรงพยาบาลมหาวิทยาลัยเทคโนโลยีสุรนารี","0","0","0.00"
"24692  :  โรงพยาบาลเฉลิมพระเกียรติ","0","43","0.00"
"27839  :  โรงพยาบาลบัวลาย","0","0","0.00"
"27840  :  โรงพยาบาลสีดา","0","39","0.00"
"27841  :  โรงพยาบาลเทพารักษ์","0","0","0.00"
"10667  :  โรงพยาบาลบุรีรัมย์","0","0","0.00"
"10895  :  โรงพยาบาลคูเมือง","0","0","0.00"
"10896  :  โรงพยาบาลกระสัง","0","0","0.00"
"10897  :  โรงพยาบาลนางรอง","0","0","0.00"
"10898  :  โรงพยาบาลหนองกี่","0","311","0.00"
"10899  :  โรงพยาบาลละหานทราย","0","0","0.00"
"10900  :  โรงพยาบาลประโคนชัย","0","510","0.00"
"10901  :  โรงพยาบาลบ้านกรวด","0","0","0.00"
"10902  :  โรงพยาบาลพุทไธสง","0","164","0.00"
"10904  :  โรงพยาบาลลำปลายมาศ","0","0","0.00"
"10905  :  โรงพยาบาลสตึก","0","0","0.00"
"10906  :  โรงพยาบาลปะคำ","0","0","0.00"
"10907  :  โรงพยาบาลนาโพธิ์","0","42","0.00"
"10908  :  โรงพยาบาลหนองหงส์","0","106","0.00"
"10909  :  โรงพยาบาลพลับพลาชัย","0","67","0.00"
"10910  :  โรงพยาบาลห้วยราช","0","0","0.00"
"10911  :  โรงพยาบาลโนนสุวรรณ","0","0","0.00"
"10912  :  โรงพยาบาลชำนิ","0","0","0.00"
"10913  :  โรงพยาบาลบ้านใหม่ไชยพจน์","0","0","0.00"
"10914  :  โรงพยาบาลโนนดินแดง","0","2","0.00"
"11493  :  โรงพยาบาลค่ายสมเด็จเจ้าพระยามหากษัตริย์ศึก","0","0","0.00"
"11619  :  โรงพยาบาลเฉลิมพระเกียรติ","0","85","0.00"
"23578  :  โรงพยาบาลแคนดง","0","0","0.00"
"28020  :  โรงพยาบาลบ้านด่าน","0","0","0.00"
"10668  :  โรงพยาบาลสุรินทร์","0","0","0.00"
"10915  :  โรงพยาบาลชุมพลบุรี","0","0","0.00"
"10916  :  โรงพยาบาลท่าตูม","0","0","0.00"
"10917  :  โรงพยาบาลจอมพระ","0","176","0.00"
"10918  :  โรงพยาบาลปราสาท","0","152","0.00"
"10919  :  โรงพยาบาลกาบเชิง","0","0","0.00"
"10920  :  โรงพยาบาลรัตนบุรี","0","0","0.00"
"10921  :  โรงพยาบาลสนม","0","49","0.00"
"10922  :  โรงพยาบาลศีขรภูมิ","0","216","0.00"
"10923  :  โรงพยาบาลสังขะ","0","0","0.00"
"10924  :  โรงพยาบาลลำดวน","0","87","0.00"
"10925  :  โรงพยาบาลสำโรงทาบ","0","47","0.00"
"10926  :  โรงพยาบาลบัวเชด","0","0","0.00"
"11494  :  โรงพยาบาลค่ายวีรวัฒน์โยธิน","0","0","0.00"
"22302  :  โรงพยาบาลพนมดงรัก เฉลิมพระเกียรติ 80 พรรษา","0","0","0.00"
"27842  :  โรงพยาบาลเขวาสินรินทร์","0","0","0.00"
"27843  :  โรงพยาบาลศรีณรงค์","0","34","0.00"
"27844  :  โรงพยาบาลโนนนารายณ์","0","23","0.00"
"10700  :  โรงพยาบาลศรีสะเกษ","0","0","0.00"
"10927  :  โรงพยาบาลยางชุมน้อย","0","0","0.00"
"10928  :  โรงพยาบาลกันทรารมย์","0","0","0.00"
"10929  :  โรงพยาบาลกันทรลักษ์","0","0","0.00"
"10930  :  โรงพยาบาลขุขันธ์","0","22","0.00"
"10931  :  โรงพยาบาลไพรบึง","0","0","0.00"
"10932  :  โรงพยาบาลปรางค์กู่","0","68","0.00"
"10933  :  โรงพยาบาลขุนหาญ","0","0","0.00"
"10934  :  โรงพยาบาลราษีไศล","0","183","0.00"
"10935  :  โรงพยาบาลอุทุมพรพิสัย","0","206","0.00"
"10936  :  โรงพยาบาลบึงบูรพ์","0","4","0.00"
"10937  :  โรงพยาบาลห้วยทับทัน","0","66","0.00"
"10938  :  โรงพยาบาลโนนคูณ","0","28","0.00"
"10939  :  โรงพยาบาลศรีรัตนะ","0","67","0.00"
"10940  :  โรงพยาบาลวังหิน","0","37","0.00"
"10941  :  โรงพยาบาลน้ำเกลี้ยง","0","30","0.00"
"10942  :  โรงพยาบาลภูสิงห์","0","95","0.00"
"10943  :  โรงพยาบาลเมืองจันทร์","0","13","0.00"
"23125  :  โรงพยาบาลเบญจลักษ์เฉลิมพระเกียรติ 80 พรรษา","0","0","0.00"
"28014  :  โรงพยาบาลพยุห์","0","25","0.00"
"28015  :  โรงพยาบาลโพธิ์ศรีสุวรรณ","0","0","0.00"
"28016  :  โรงพยาบาลศิลาลาด","0","39","0.00"
"10669  :  โรงพยาบาลสรรพสิทธิประสงค์","0","0","0.00"
"10944  :  โรงพยาบาลศรีเมืองใหม่","0","0","0.00"
"10945  :  โรงพยาบาลโขงเจียม","0","25","0.00"
"10946  :  โรงพยาบาลเขื่องใน","0","0","0.00"
"10947  :  โรงพยาบาลเขมราฐ","0","0","0.00"
"10948  :  โรงพยาบาลนาจะหลวย","0","0","0.00"
